iter	Logloss
0	0.6559835266
1	0.6238137135
2	0.5946169861
3	0.5693006937
4	0.5468757615
5	0.5263237595
6	0.5068659146
7	0.4896296834
8	0.4738144447
9	0.4597738105
10	0.4468204696
11	0.434452185
12	0.4244470035
13	0.4152336708
14	0.4069765456
15	0.3992333309
16	0.3923004324
17	0.3859217803
18	0.380090636
19	0.3748951185
20	0.3700324362
21	0.3659693518
22	0.361851508
23	0.358163453
24	0.3547556574
25	0.3512090995
26	0.3482782174
27	0.3455994015
28	0.3431533857
29	0.3408333458
30	0.3387642548
31	0.3368684313
32	0.3350018416
33	0.3333808117
34	0.3316841434
35	0.3300702418
36	0.3287224073
37	0.327319966
38	0.3260034473
39	0.3247860576
40	0.3236341341
41	0.3226987506
42	0.3218154431
43	0.3208759864
44	0.3201140637
45	0.3193970433
46	0.3186672343
47	0.3178739487
48	0.317194035
49	0.3166091604
50	0.3160129617
51	0.3154309606
52	0.3150318287
53	0.3145828058
54	0.3140990871
55	0.3136792466
56	0.3132639647
57	0.3129452427
58	0.3125878415
59	0.3122740177
60	0.3119231698
61	0.3116137814
62	0.3113260648
63	0.3109980781
64	0.3107109701
65	0.3104368921
66	0.3102267645
67	0.3099425959
68	0.3097111801
69	0.3095014941
70	0.3092117288
71	0.3089859867
72	0.3087877702
73	0.3086093727
74	0.308367416
75	0.3081889431
76	0.308023112
77	0.3078347767
78	0.3076244401
79	0.3074322365
80	0.3072964075
81	0.3071564159
82	0.3070278248
83	0.3069072459
84	0.3067392765
85	0.3066319236
86	0.306531057
87	0.306419174
88	0.3063303901
89	0.3062295846
90	0.3060881482
91	0.3060134536
92	0.3059274001
93	0.3058311589
94	0.3057502167
95	0.3056054118
96	0.3054809449
97	0.3054118105
98	0.3053429218
99	0.3052594076
100	0.3051961235
101	0.305132619
102	0.3050680883
103	0.3049724032
104	0.3048848534
105	0.3048198145
106	0.3047243176
107	0.3046621254
108	0.3045767374
109	0.3045013368
110	0.3044463857
111	0.3043828465
112	0.3043406242
113	0.3042628638
114	0.3041923632
115	0.3041481835
116	0.3041058307
117	0.3040420294
118	0.3040060512
119	0.3039665177
120	0.3039107215
121	0.3038691872
122	0.3038334818
123	0.30379683
124	0.3037565469
125	0.3037124073
126	0.3036628961
127	0.3036197695
128	0.3035627003
129	0.3035107224
130	0.3034719597
131	0.3034141363
132	0.3033721963
133	0.3033154505
134	0.303269418
135	0.3032181064
136	0.303150797
137	0.3031140085
138	0.3030839251
139	0.303044545
140	0.3030118723
