iter	Passed	Remaining
0	302	604219
1	615	614525
2	937	624014
3	1275	636484
4	1589	634331
5	1925	639996
6	2285	650776
7	2594	646003
8	2867	634448
9	3120	621038
10	3425	619374
11	3701	613213
12	3999	611304
13	4289	608434
14	4579	605970
15	4835	599646
16	5140	599606
17	5438	598849
18	5739	598387
19	6030	596982
20	6370	600365
21	6686	601181
22	6962	598429
23	7245	596509
24	7538	595554
25	7959	604333
26	8284	605367
27	8565	603282
28	8852	601667
29	9115	598593
30	9425	598688
31	9716	597572
32	10000	596070
33	10331	597403
34	10661	598565
35	10938	596758
36	11212	594886
37	11471	592275
38	11750	590847
39	12080	591964
40	12397	592354
41	12637	589157
42	12940	588930
43	13260	589482
44	13537	588121
45	13828	587405
46	14071	584712
47	14296	581398
48	14594	581098
49	14870	579952
50	15202	580972
51	15513	581152
52	15751	578647
53	16038	577971
54	16283	575829
55	16592	575985
56	16855	574552
57	17113	572993
58	17416	572981
59	17730	573282
60	18037	573366
61	18339	573252
62	18592	571654
63	18931	572678
64	19194	571396
65	19473	570632
66	19753	569898
67	20055	569808
68	20342	569296
69	20574	567264
70	20830	565943
71	21102	565088
72	21396	564805
73	21610	562466
74	21883	561686
75	22128	560206
76	22390	559182
77	22651	558148
78	22924	557450
79	23246	557907
80	23579	558641
81	23891	558821
82	24220	559402
83	24537	559677
84	24811	558987
85	25062	557783
86	25369	557847
87	25686	558099
88	25920	556560
89	26210	556241
90	26479	555480
91	26747	554718
92	27004	553728
93	27286	553280
94	27590	553253
95	27846	552291
96	28066	550630
97	28366	550539
98	28656	550255
99	28869	548516
100	29135	547799
101	29389	546871
102	29650	546092
103	29916	545393
104	30174	544571
105	30467	544397
106	30758	544173
107	31029	543583
108	31294	542921
109	31632	543502
110	31877	542499
111	32094	541026
112	32380	540725
113	32697	540935
114	32883	539003
115	33103	537652
116	33382	537257
117	33682	537213
118	33986	537210
119	34180	535490
120	34461	535154
121	34685	533933
122	34944	533264
123	35231	533012
124	35557	533365
125	35771	532028
126	35968	530470
127	36197	529387
128	36415	528165
129	36686	527725
130	36961	527330
131	37174	526080
132	37384	524795
133	37642	524182
134	37939	524133
135	38147	522841
136	38428	522567
137	38701	522188
138	38956	521571
139	39217	521028
140	39459	520244
141	39730	519853
142	40049	520077
143	40291	519312
144	40589	519262
145	40800	518109
146	41095	518029
147	41316	517011
148	41616	516995
149	41831	515924
150	42127	515846
151	42436	515943
152	42728	515812
153	42963	515001
154	43233	514612
155	43472	513870
156	43759	513681
157	44026	513275
158	44257	512437
159	44558	512417
160	44873	512566
161	45133	512075
162	45426	511959
163	45761	512306
164	46032	511933
165	46272	511223
166	46633	511851
167	46882	511243
168	47241	511833
169	47535	511706
170	47841	511703
171	48191	512174
172	48485	512045
173	48779	511901
174	49068	511716
175	49365	511606
176	49619	511054
177	49944	511233
178	50224	510945
179	50510	510719
180	50766	510192
181	51073	510178
182	51352	509877
183	51605	509327
184	51829	508488
185	52107	508193
186	52412	508145
187	52668	507634
188	52977	507632
189	53261	507382
190	53564	507316
191	53842	507017
192	54177	507244
